"Assign ID","Person ID","Corporate ID","Alias ID","Job ID","Role ID","Location ID","Done ID","Production ID"
51994,5056,0,5270,853,0,3,326,567
51995,3982,0,4125,169,0,3,326,567
51996,3992,0,4135,169,0,3,326,567
51997,5314,0,5545,854,0,3,326,567
51998,5056,0,5270,756,0,3,326,567
51999,3266,0,3335,756,0,3,326,567
52000,4264,0,4437,236,0,3,326,567
52001,4578,0,4760,236,0,3,326,567
52002,2984,0,3511,236,0,3,326,567
52003,5400,0,5631,236,0,3,326,567
52004,5100,0,5319,236,0,3,326,567
52005,5315,0,5546,236,0,3,326,567
52006,5401,0,5632,597,6487,3,326,567
52007,5402,0,5633,837,0,3,326,567
52008,5403,0,5634,837,0,3,326,567
52009,3056,0,3111,261,0,3,326,567
52010,4461,0,4639,106,0,3,326,567
52011,4344,0,4631,106,0,3,326,567
52012,3750,0,3868,106,0,3,326,567
52013,3521,0,4638,106,0,3,326,567
52014,3062,0,3117,106,0,3,326,567
52015,5404,0,5635,863,0,3,326,567
52016,1159,0,447,25,0,3,326,567
52017,2217,0,2224,508,0,3,326,567
52018,4463,0,5178,642,0,3,326,567
52019,5093,0,5311,642,0,3,326,567
52020,1544,0,873,75,0,3,326,567
52022,5214,0,5434,75,0,3,326,567
52023,4014,0,4158,75,0,3,326,567
52024,5099,0,5318,75,0,3,326,567
52025,5405,0,5636,822,0,3,326,567
52026,1524,0,1781,99,0,3,326,39
52027,4616,0,4799,2,0,3,326,39
52028,654,0,1204,6,0,3,326,39
52029,4787,0,4986,8,0,3,326,39
52030,5446,0,5161,325,0,3,326,39
52031,4784,0,4983,9,0,3,326,39
52032,4016,0,4170,855,0,3,326,39
52033,4622,0,4805,12,0,3,326,39
52034,4622,0,4805,20,0,3,326,39
52035,4399,0,4574,13,0,3,326,39
52036,5436,0,5667,5,0,3,326,39
52037,4186,0,4190,14,0,3,326,39
52038,1152,0,1717,18,0,3,326,39
52039,3591,0,3702,16,0,3,326,39
52040,5011,0,5224,31,0,3,326,39
52041,4861,0,5064,504,0,3,326,39
52042,4851,0,4562,504,0,3,326,39
52043,5447,0,5678,504,0,3,326,39
52044,5448,0,5679,504,0,3,326,39
52045,0,188,0,504,0,3,326,39
52046,594,0,1427,1,1265,3,326,39
52047,3161,0,3225,1,589,3,326,39
52048,4846,0,5046,1,1003,3,326,39
52049,1127,0,1655,1,928,3,326,39
52050,974,0,1665,1,1286,3,326,39
52051,1135,0,579,1,1509,3,326,39
52052,1186,0,1464,1,389,3,326,39
52053,5392,0,5381,1,584,3,326,39
52054,5196,0,5416,1,773,3,326,39
52055,5241,0,5461,1,289,3,326,39
52056,5290,0,5521,1,569,3,326,39
52057,4535,0,4715,1,2552,3,326,39
52058,5360,0,5591,1,482,3,326,39
52059,743,0,1227,1,1217,3,326,39
52060,1149,0,234,1,6529,3,326,39
52061,4543,0,4723,1,6530,3,326,39
52062,4994,0,5206,1,1086,3,326,39
52063,4867,0,5070,1,430,3,326,39
52064,4556,0,4738,1,430,3,326,39
52065,4868,0,5071,1,430,3,326,39
52066,5223,0,5443,1,430,3,326,39
52067,5449,0,5680,1,430,3,326,39
52068,5450,0,5681,1,430,3,326,39
52069,4915,0,5122,1,6531,3,326,39
52070,5360,0,5591,1,1663,3,326,39
52071,3161,0,3225,1,1663,3,326,39
52072,5241,0,5461,1,1663,3,326,39
52073,5290,0,5521,1,1663,3,326,39
52074,1149,0,234,1,1663,3,326,39
52075,1135,0,579,1,1663,3,326,39
52076,1127,0,1655,1,1663,3,326,39
52077,4867,0,5070,1,1663,3,326,39
52078,1186,0,1464,1,1663,3,326,39
52079,4846,0,5046,1,1663,3,326,39
52080,4535,0,4715,1,1663,3,326,39
52081,594,0,1427,1,1663,3,326,39
52082,743,0,1227,1,1663,3,326,39
52083,4556,0,4738,1,1663,3,326,39
