"Production ID","Production Name","Author ID","PSoundex"
2,"Ah, Wilderness!",,"A436"
3,"The Alchemist",,"T425"
4,"All My Sons",,"A452"
5,"All's Well That Ends Well",,"A424"
6,"And a Nightingale Sang ...",,"A535"
7,"Antigone",,"A532"
8,"Antony and Cleopatra",,"A535"
9,"Aristocrats",,"A623"
10,"Artichoke",,"A632"
11,"As You Like It",,"A242"
13,"Measure for Measure",,"M261"
14,"The Birthday Party",,"T163"
15,"Blithe Spirit",,"B432"
16,"Born Yesterday",,"B652"
17,"Boy Meets Girl",,"B532"
18,"Breaking the Silence",,"B625"
19,"Broadway",,"B630"
20,"The Knight of the Burning Pestle",,"T252"
21,"Cat on a Hot Tin Roof",,"C353"
22,"Charley's Aunt",,"C642"
23,"Cold Storage",,"C432"
24,"The Comedy of Errors",,"T253"
26,"Coriolanus",,"C645"
27,"Crimes of the Heart",,"C652"
28,"The Crucible",,"T262"
29,"Curse of the Starving Class",,"C621"
30,"Cymbeline",,"C514"
31,"Cyrano de Bergerac",,"C653"
33,"The Dance of Death",,"T352"
34,"Death of a Salesman",,"D312"
35,"The Devil's Disciple",,"T314"
36,"Don Juan in Hell",,"D525"
37,"The Tragical History of Doctor Faustus",,"T362"
38,"Dracula",,"D624"
39,"A Midsummer Night's Dream",,"A532"
40,"Dreamhouse",,"D652"
41,"The Tragedy of the Duchess of Malfi",,"T362"
43,"The Effect of Gamma Rays on Man-in-the-Moon Marigolds",,"T123"
44,"An Enemy of the People",,"A555"
45,"Enrico IV (The Emperor)",,"E562"
46,"The Entertainer",,"T536"
47,"The Father",,"T136"
48,"The Glass Menagerie",,"T242"
49,"God's Country",,"G322"
50,"Hamlet",,"H543"
51,"Hay Fever",,"H116"
52,"Hedda Gabler",,"H321"
53,"Henry IV, Part One",,"H561"
54,"Henry VI, Part Three",,"H561"
55,"Henry IV, Part Two",,"H561"
57,"Henry V",,"H561"
58,"The Conclusion of Henry VI",,"T252"
61,"The First Part of Henry VI",,"T162"
63,"Henry VI, Part Two",,"H561"
64,"Henry VIII",,"H561"
65,"Hold Me!",,"H435"
66,"The Hostage",,"T232"
67,"The House of Blue Leaves",,"T211"
68,"Hunting Cockroaches",,"H535"
69,"The Iceman Cometh",,"T255"
70,"The Imaginary Invalid",,"T525"
71,"Inherit the Wind",,"I563"
72,"The Island",,"T245"
73,"Julius Caesar",,"J422"
74,"Juno and the Paycock",,"J553"
75,"King John",,"K522"
76,"King Lear",,"K524"
77,"The Ladies of the Camellias",,"T432"
78,"Light Up the Sky",,"L231"
79,"The Little Foxes",,"T434"
81,"Lock Up Your Daughters",,"L221"
82,"London Assurance",,"L535"
83,"Lone Star",,"L523"
84,"Long Day's Journey Into Night",,"A452"
85,"Indulgences in the Louisville Harem",,"I534"
86,"Love's Labor's Lost",,"L124"
87,"Macbeth",,"M213"
88,"The Maid of the Mill",,"T531"
89,"The Majestic Kid",,"T522"
90,"Major Barbara",,"M261"
91,"Man and Superman",,"M553"
94,"The Marriage of Bette and Boo",,"T562"
95,"The Maske of the New World",,"T522"
96,"""Master Harold"" ...and the boys",,"""523"
97,"The Matchmaker",,"T532"
100,"The Member of the Wedding",,"T551"
101,"The Merchant of Venice",,"T562"
102,"The Merry Wives of Windsor",,"T561"
103,"Miss Julie",,"M224"
104,"A Moon for the Misbegotten",,"A551"
105,"Mother Courage and Her Children",,"M362"
106,"Much Ado about Nothing",,"M231"
107,"Night of the Tribades",,"N231"
108,"Of Mice and Men",,"O152"
109,"Orphans",,"O615"
110,"Othello",,"O340"
111,"Other People's Money",,"O361"
112,"Peer Gynt",,"P625"
113,"A Penny for a Song",,"A151"
114,"Pericles, Prince of Tyre",,"P624"
115,"The Philadelphia Story",,"T143"
116,"The Play's the Thing",,"T142"
117,"The Playboy of the Western World",,"T141"
118,"The Revenger's Tragedy",,"T615"
119,"Richard III",,"R263"
120,"Richard II",,"R263"
122,"The Rivals",,"T614"
123,"The Road to Mecca",,"T633"
124,"Romeo and Juliet",,"R553"
125,"Root of the Mandrake",,"R313"
126,"Rosencrantz and Guildenstern Are Dead",,"R252"
127,"The Second Man",,"T225"
128,"She Stoops to Conquer",,"S231"
129,"The Shoemakers' Holiday",,"S526"
130,"The Taming of the Shrew",,"T355"
131,"Sizwe Bansi Is Dead",,"S215"
132,"Some Americans Abroad",,"S556"
133,"Spokesong",,"S122"
134,"Strange Snow",,"S365"
135,"A Streetcar Named Desire",,"A236"
137,"Taking Steps",,"T252"
138,"Tartuffe",,"T631"
139,"The Tempest",,"T351"
140,"Three Sisters",,"T622"
141,"The Threepenny Opera",,"T361"
142,"The Time of Your Life",,"T351"
143,"Timon of Athens",,"T551"
145,"'Tis Pity She's a Whore",,"'321"
146,"Titus Andronicus",,"T325"
147,"Translations",,"T652"
148,"Trelawny of the ""Wells""",,"T645"
149,"Troilus and Cressida",,"T642"
151,"Twelfth Night",,"T413"
153,"The Two Gentlemen of Verona",,"T325"
154,"Uncle Vanya",,"U524"
155,"Virtue in Danger",,"V635"
156,"Volpone",,"V415"
157,"Waiting for Godot",,"W352"
158,"What the Butler Saw",,"W331"
159,"Who's Happy Now?",,"W215"
160,"The Wild Duck",,"T433"
161,"Wild Oats",,"W433"
162,"Wings",,"W522"
163,"The Winter's Tale",,"T536"
164,"Woman In Mind",,"W555"
165,"You Can't Take It with You",,"Y253"
166,"Strindberg in Hollywood",0,"S365"
167,"This Day and Age",0,"T235"
168,"The Illusion",0,"T425"
173,"Angel Street",0,"A524"
176,"Our Town",0,"O635"
178,"A Man for All Seasons",0,"A551"
179,"Dancing at Lughnasa",0,"D525"
180,"The Petrified Forest",0,"T136"
181,"The Voice of the Prairie",0,"T121"
182,"Joe Turner's Come and Gone",0,"J365"
183,"Mad Forest",0,"M316"
184,"The Two Noble Kinsmen",0,"T351"
185,"The Pool of Bethesda",0,"T141"
186,"Fifth of July",0,"F131"
187,"Emma's Child",0,"E522"
188,"The Darker Face of the Earth",0,"T362"
189,"Blood Wedding",0,"B433"
190,"Pravda",0,"P613"
191,"Molière Plays Paris",0,"M461"
192,"Ring Round the Moon",0,"R526"
