"Role ID","Role Name","RSoundex"
1,"Cornwall Servant","C654"
2,"Abel Drugger","A143"
3,"Abhorson","A162"
4,"Abigail","A124"
5,"Abram","A165"
6,"Achilles","A242"
7,"Acolyte","A243"
8,"Adam","A350"
9,"Adolphus Spanker","A341"
10,"Adrian","A365"
11,"Adriana","A365"
12,"Aegeon","A250"
13,"Aemilia","A540"
14,"Aeneas","A520"
15,"Agamemnon","A255"
16,"Agrippa","A261"
17,"Ajax","A220"
18,"Alarbus","A461"
19,"Albany","A415"
20,"Albert Adam","A416"
21,"Alciabiades","A421"
22,"Alcibiades","A421"
23,"Alencon","A452"
24,"Alexander","A425"
25,"Alexander Court","A425"
26,"Alexandra","A425"
27,"Alexas","A422"
28,"Alice","A420"
29,"Alice More","A425"
30,"Alluvio","A410"
31,"Alonso","A452"
32,"Amanda","A553"
33,"Amazon","A525"
34,"Ambassador","A512"
35,"Amelia","A540"
36,"Amiens","A552"
37,"Aminadab","A553"
38,"Amy Spettigue","A521"
39,"Ananias","A552"
40,"Andrew Jorgenson","A536"
41,"Andrey Prozorov","A536"
42,"Angelo","A524"
43,"Angus","A522"
44,"Anne Page","A512"
45,"Antenor","A535"
46,"Anthony Anderson","A535"
47,"Anthony Dull","A535"
48,"Antigonus","A532"
49,"Antipholus","A531"
50,"Antipholus of Ephesus","A531"
51,"Antipholus of Syracuse","A531"
52,"Antonio","A535"
53,"Antony","A535"
54,"Antony's Attendant","A535"
55,"Apemantus","A155"
56,"Apothecary","A132"
57,"Apparition","A163"
58,"Appartition","A163"
59,"Archbishop of York","A621"
60,"Archidamus","A623"
61,"Archie","A620"
62,"Argan","A625"
63,"Ariel","A640"
64,"Artimidorus","A635"
65,"Arthur","A636"
66,"Artimedorus","A635"
67,"Asaph","A210"
69,"Astringer","A236"
70,"Attendant","A353"
71,"Attendant to Morocco","A353"
72,"Attendant to Oberon","A353"
73,"Attendant to Theseus","A353"
74,"Audrey","A360"
75,"August Strindberg","A223"
76,"Austin Lowe","A235"
77,"Aviragus","A162"
78,"Bagot","B230"
79,"Balthasar","B432"
80,"Balthazar","B432"
81,"Bandit","B533"
82,"Banditti","B533"
83,"Banished Duke","B523"
84,"Baptista","B132"
85,"Baptista Minola","B132"
86,"Baptista's Servant","B132"
87,"Barber","B616"
88,"Bardolph","B634"
89,"Barnadine","B653"
90,"Barnardine","B656"
91,"Basil","B240"
92,"Bassanio","B250"
93,"Bassanio Attendant","B253"
94,"Basset","B230"
95,"Bassianus","B252"
96,"Bastard","B236"
97,"Bastard of Orleans","B236"
98,"Bates","B320"
99,"Bawd","B300"
100,"Beatrice","B362"
101,"Beggar","B260"
102,"Belarius","B462"
103,"Béline","B450"
104,"Bellhop","B410"
105,"Belzebub","B421"
106,"Benedick","B532"
107,"Benjamin Hubbard","B525"
108,"Benny","B500"
109,"Benvolio","B514"
110,"Bernardine","B656"
111,"Bernardo","B656"
112,"Bertha","B630"
113,"Bertram","B636"
114,"Bertram Cates","B636"
115,"Bertrand","B636"
116,"Betty Doxy","B332"
117,"Bianca","B520"
118,"Biff","B100"
119,"Big Daddy","B233"
120,"Bill","B400"
121,"Biondello","B534"
122,"Biron","B650"
123,"Bishop","B210"
124,"Bishop of Carlisle","B211"
125,"Bishop of Ely","B211"
126,"Bishop of Lincoln","B211"
127,"Bishop of Winchester","B211"
128,"Blackamoor","B422"
129,"Blick","B422"
130,"Blunt","B453"
131,"Boatswain","B325"
132,"Bob","B100"
133,"Bolingbroke","B452"
134,"Bond Ventura","B531"
135,"Boo Hudlocke","B342"
136,"Bookholder","B243"
137,"Boot Black","B314"
138,"Borachio","B620"
139,"Bottom","B350"
140,"Boy","B000"
141,"Boyet","B300"
142,"Brabantio","B615"
143,"Brackenbury","B622"
144,"Brakenbury","B625"
145,"Brandon","B653"
146,"Brick","B622"
147,"Bridesmaid","B632"
148,"British Soldier","B632"
149,"Brother Domain","B636"
150,"Bruce Pierce","B621"
151,"Brutus","B632"
152,"Buckingham","B225"
153,"Burgundy","B625"
154,"Bushy","B200"
155,"Button Molder","B355"
156,"Cadet","C330"
157,"Caesar's Ghost","C262"
158,"Caithness","C352"
159,"Caius Martius","C256"
160,"Cal","C400"
161,"Calchas","C422"
162,"Caliban","C415"
163,"Callimaco","C452"
164,"Calpurnia","C416"
165,"Camillo","C540"
166,"Candy","C530"
167,"Canidius","C532"
168,"Canter","C536"
169,"Canterbury Mayor","C536"
170,"Captain","C135"
171,"Captain Adolph","C135"
172,"Captain Horster","C135"
173,"Captain of Welsh Soldiers","C135"
174,"Capulet","C143"
175,"Capulet Girl","C143"
176,"Capulet Servant","C143"
177,"Cardinal","C635"
178,"Cardinal Beaufort","C635"
179,"Cardinal Pandolph","C635"
180,"Carleton Fitzgerald","C643"
181,"Carlotta","C643"
182,"Caroline","C645"
183,"Carpenter","C615"
184,"Carrier","C660"
185,"Casca","C220"
186,"Casimir","C256"
187,"Cassandra","C253"
188,"Cassio","C200"
189,"Cassius","C220"
190,"Catesby","C321"
191,"Celia","C400"
192,"Censor","C526"
193,"Ceres","C620"
194,"Changeling","C524"
195,"Chappell","C140"
196,"Charles","C642"
197,"Charles Benthan","C642"
198,"Charles Lomax","C642"
199,"Charles VI","C642"
200,"Charmian","C655"
201,"Chatillion","C345"
202,"Chebutykin","C132"
203,"Child","C430"
204,"Child of Windsor","C431"
205,"China John","C525"
206,"Chiron","C650"
207,"Chorus","C620"
208,"Christian","C623"
209,"Christopher Sly","C623"
210,"Cinna","C500"
211,"Cinque Port","C521"
212,"Cinque-Port","C521"
213,"Citizen","C325"
214,"Citizen of Corioli","C325"
215,"Citizen of Harfleur","C325"
216,"Citizen of Rome","C325"
217,"Clarence","C465"
218,"Claudio","C430"
219,"Claudius","C432"
220,"Cleomenes","C455"
221,"Cleopatra","C413"
222,"Clerk of Chatham","C462"
223,"Clown","C450"
224,"Cobbler","C146"
225,"Cobweb","C110"
226,"Comedian","C535"
227,"Conrade","C563"
228,"Constable","C523"
229,"Charles Delabreth, Constable of Fra","C523"
230,"Mme. Constance Bonancieux","M525"
231,"Constance Neville","C523"
232,"Construction Manager","C523"
233,"Cook","C200"
234,"Cool","C400"
235,"Cooper","C160"
236,"Cop","C100"
237,"Cordelia","C634"
238,"Cordelia Soldier","C634"
239,"Cordelia's Soldier","C634"
240,"Coriander","C653"
241,"Corin","C650"
242,"Coriolanus","C645"
243,"Cornelius","C654"
244,"Cornwall Attendant","C654"
245,"Cornwall Captain","C654"
246,"Corvino","C615"
247,"Costard","C236"
248,"Count Malateste","C535"
249,"Countess of Avergne","C532"
250,"Countess of Rossillion","C532"
251,"Country Folk","C536"
252,"Court","C630"
253,"Court Lady","C634"
254,"Court Lord","C634"
255,"Court Servant","C632"
256,"Courtesan","C632"
257,"Courtier","C636"
258,"Covetousness","C132"
259,"Cranmer","C655"
260,"Cranner","C656"
261,"Cressida","C623"
262,"Crooks","C622"
263,"Crowd","C630"
264,"Curan","C650"
265,"Curio","C600"
266,"Curtain Page","C635"
267,"Curtain Page","C635"
268,"Curtis","C632"
269,"Cut Purse","C316"
270,"Cutter","C360"
271,"Cymbeline","C514"
272,"Cypriot","C163"
273,"Cypriot Gentleman","C163"
274,"Czesio","C220"
275,"Dabble","D140"
276,"Daisy","D200"
277,"Dame Pliant","D514"
278,"Dan McCorn","D552"
279,"Dancer","D526"
280,"Danforth","D516"
281,"Dapper","D160"
