"Year ID","Year"
3,"1935"
4,"1936"
5,"1937"
6,"1938"
7,"1939"
8,"1940"
9,"1947"
10,"1948"
11,"1949"
12,"1950"
13,"1951"
14,"1952"
15,"1953"
16,"1954"
17,"1955"
18,"1956"
19,"1957"
20,"1958"
21,"1959"
22,"1960"
23,"1961"
24,"1962"
25,"1963"
26,"1964"
27,"1965"
28,"1966"
29,"1967"
30,"1968"
31,"1969"
32,"1970"
33,"1971"
34,"1972"
35,"1973"
36,"1974"
37,"1975"
38,"1976"
39,"1977"
40,"1978"
41,"1979"
42,"1980"
43,"1981"
44,"1982"
45,"1983"
46,"1984"
47,"1985"
48,"1986"
49,"1987"
50,"1988"
51,"1989"
52,"1990"
53,"1991"
54,"1992"
55,"1993"
56,"1996"
57,"1995"
58,"1980 Winter/Spring"
59,"1994"
60,"1979 Summer/Fall"
62,"1997"
63,"1983 Winter/Spring"
64,"1981 Summer/Fall"
65,"1982 Winter/Spring"
66,"1985 Summer/Fall"
67,"1986 Winter/Spring"
68,"1982 Summer/Fall"
69,"1983 Summer/Fall"
70,"1984 Winter/Spring"
71,"1988 Winter/spring"
72,"1988 Summer/Fall"
74,"1970 Fall"
75,"1971 Fall"
76,"1971 Summer/Fall"
77,"1972 Fall"
78,"1973 Fall"
79,"1973 Winter/Spring"
80,"1979 Winter/Spring"
81,"1985 Winter/Spring"
83,"1981 Winter/Spring"
84,"1981 Fall"
85,"1983 Fall"
86,"1992 January"
87,"1991 December"
88,"1988 November-December"
89,"1989 December"
90,"1990 January"
91,"1989 January"
93,"1993 February-March"
94,"1994 February-March"
95,"1993 January-February"
96,"1993 December"
97,"1994 January-February"
98,"1988 December"
99,"1989 February"
100,"1978 Summer/Fall"
101,"1989 March"
102,"1992 November- December"
106,"1992 December"
109,"1993 January"
110,"1989 November"
111,"1989 November-December"
112,"1990 January-February"
113,"1990 November-December"
114,"1990 March-April"
115,"1990 December"
116,"1991 January-February"
117,"1990 February-March"
118,"1991 February-March"
119,"1991 November"
120,"1992 March"
121,"1993 March-April"
122,"1994 March-April"
123,"1993 October-November"
124,"1992 January-February"
125,"1992 March-April"
126,"1991 March-April"
127,"1970 November"
128,"1971 June-September"
129,"1971 October-November"
130,"1972 November"
131,"1973 March-April"
132,"1973 November"
133,"1978 August-September"
134,"1979 June-September"
135,"1979 March-June"
136,"1980 February-April"
137,"1981 February-May"
138,"1981 October"
139,"1981 June-October"
140,"1981 August-October"
141,"1982  February-April"
142,"1982 August-October"
143,"1983 October"
144,"1983 February-April"
145,"1984 February-April"
146,"1985 August-October"
147,"1985 February-June"
148,"1986 February-August"
149,"1986 February-April"
150,"1994 April-October"
151,"1989 April-October"
152,"1992 July-October"
153,"1993 April-September"
154,"1993 July-October"
155,"1974 June-September"
156,"1992 February-March"
157,"1952 April-May"
158,"1951 November"
159,"1952  April"
160,"1952 November"
161,"1961 November-December"
162,"1952 October-November"
163,"1964 (Concert Series)"
164,"1994 August"
172,"1989 February-March"
173,"1994 October-December"
174,"1994 June"
175,"1964 June-July"
176,"1939 July"
178,"1984 October-December"
179,"1982 October-November"
180,"1985 November"
181,"1973 June-September"
182,"1982 November"
183,"1983 November"
184,"1981 January-February"
185,"1981 November-December"
186,"1982 January"
187,"1979 September"
188,"1980 September"
190,"1981  June"
191,"1977 September"
192,"1987 September"
193,"1987 October"
194,"1988 September"
195,"1989 September"
196,"1990 September"
197,"1991 September"
198,"1994  March"
199,"1994  April"
200,"1995 August"
201,"1995 March"
202,"1996 March"
203,"1996 September"
204,"1996 October"
205,"1997 March"
206,"1995 April"
207,"1993  April"
208,"1993  March"
209,"1996 August"
210,"1993  February"
211,"1993 November"
212,"1994  January"
213,"1992 April"
214,"1993  October"
215,"1997 July"
219,"1997"
221,"1977 December"
222,"1997 August"
223,"1997 September"
226,"1980 June-September"
227,"1980 October-November"
228,"1998"
230,"1994 May"
231,"1998 March"
237,"1999"
238,"1998 November-December"
240,"1998 July"
241,"1998 August"
242,"1998 September"
243,"1999 March"
244,"2000"
245,"1999 July"
246,"1999 September"
247,"1999 August"
248,"2001"
249,"2000 July"
250,"2000 April 30"
251,"2000"
252,"2000"
253,"2000"
254,"2000 May 10, 11"
255,"2000"
256,"2000 August"
257,"2000"
258,"2000 September"
259,"1998"
260,"2001 March"
261,"2002"
262,"2001 July"
263,"2001 August"
264,"2001"
265,"2001"
266,"1999"
267,"2002 March"
268,"2003"
269,"2002 July"
270,"2002"
271,"2002 September"
272,"2002 August"
273,"2004"
274,"2003 March"
275,"2003 July"
276,"2003 August"
277,"2003 September"
278,"2005"
279,"2002 October"
280,"2004 April"
281,"2000 November"
282,"2004 May"
283,"2001September"
285,"2001 September"
286,"1999 October"
287,"1999  October"
288,"2004 July"
289,"2004 September"
290,"2006"
291,"2005 April"
292,"2005 July"
293,"2005 August"
294,"2007"
295,"2006 April"
296,"2006 August"
297,"2008"
298,"2007 June"
299,"2007 March"
300,"2007 August"
301,"1983 July"
302,"2009"
303,"2008 July"
304,"2008 May"
305,"2008 August"
306,"2009 March"
307,"2010"
308,"2009 August"
309,"2009 October"
310,"2011"
312,"2011 August-September"
313,"2010 April"
314,"2010 November"
315,"2010 August"
316,"2011 August-October"
317,"1974 March-April"
318,"1939 March"
319,"1939 February-March"
320,"2011 April"
321,"2010 November-December"
322,"2012 January"
323,"2011 November-December"
324,"2012 January-February"
325,"2012 "
326,"2013"
327,"2011 August"
328,"2013, March"
329,"2013  March"
330,"2013 March"
331,"2013 August 19"
332,"2012 August"
333,"2014"
